iter	Passed	Remaining
401	15959	3890
402	15995	3849
403	16030	3809
404	16061	3767
405	16099	3727
406	16136	3687
407	16179	3648
408	16222	3609
409	16261	3569
410	16300	3529
411	16332	3488
412	16367	3447
413	16409	3408
414	16445	3368
415	16478	3327
416	16511	3286
417	16572	3251
418	16609	3210
419	16641	3169
420	16677	3129
421	16718	3090
422	16757	3050
423	16797	3010
424	16829	2969
425	16865	2929
426	16903	2889
427	16937	2849
428	16972	2809
429	17012	2769
430	17043	2728
431	17081	2688
432	17118	2648
433	17156	2609
434	17204	2570
435	17241	2530
436	17277	2490
437	17322	2452
438	17364	2412
439	17443	2378
440	17499	2341
441	17539	2301
442	17574	2261
443	17612	2221
444	17650	2181
445	17688	2141
446	17720	2101
447	17753	2060
448	17784	2020
449	17824	1980
450	17863	1940
451	17901	1901
452	17938	1861
453	17983	1822
454	18021	1782
455	18057	1742
456	18091	1702
457	18128	1662
458	18168	1622
459	18203	1582
460	18241	1543
461	18281	1503
462	18312	1463
463	18352	1423
464	18389	1384
465	18428	1344
466	18466	1304
467	18500	1264
468	18536	1225
469	18577	1185
470	18617	1146
471	18662	1107
472	18698	1067
473	18736	1027
474	18772	988
475	18805	948
476	18842	908
477	18879	868
478	18915	829
479	18952	789
480	18991	750
481	19028	710
482	19062	670
483	19102	631
484	19152	592
485	19195	552
486	19232	513
487	19264	473
488	19303	434
489	19341	394
490	19379	355
491	19415	315
492	19452	276
493	19489	236
494	19524	197
495	19562	157
496	19604	118
497	19639	78
498	19675	39
499	19714	0
